f1_entropy,f2_strings_density,f3_log_size,label
6.0099654,2.7407408,5.043728,1
5.5360975,12.987317,4.891543,1
5.93215,8.009009,5.055627,1
6.39218,11.722412,5.9542894,1
7.668298,13.046937,6.5075755,1
6.7321925,9.04197,6.310683,1
6.724148,8.922701,6.320781,1
6.724148,8.922637,6.320784,1
7.2138615,15.332489,5.726582,1
6.0601435,10.234183,5.7079883,1
6.0380177,15.08015,5.0610676,1
6.0380177,14.685608,5.071812,1
6.033757,14.593875,4.9828544,1
6.346829,10.684064,6.0034556,1
4.977799,6.7133493,3.855519,1
4.977799,6.7133493,3.855519,1
4.97642,6.7133493,3.855519,1
6.689131,6.870185,5.6931605,1
6.7696047,15.1625,5.390513,1
4.8831806,9.6244755,5.6616025,1
5.4489694,9.964396,5.6014647,1
6.740413,13.539897,4.882581,1
5.324678,10.407756,5.480931,1
6.815792,15.268966,4.8706436,1
6.784932,12.384316,5.3478274,1
6.74683,7.7442307,5.726304,1
6.7213073,6.059489,4.883008,1
6.8201613,12.657472,5.347761,1
6.8981624,16.163641,5.3262887,1
6.706393,14.15617,5.2863555,1
5.337638,9.29125,5.480928,1
6.828292,9.666191,5.7707443,1
6.8284154,18.394274,4.9928584,1
6.824963,10.5790825,5.603063,1
6.8097687,13.276072,5.9133964,1
6.804858,11.7109375,5.117513,1
6.7487283,19.379755,4.8825245,1
6.8394704,16.155891,5.5696454,1
6.776074,16.003984,4.9839015,1
6.677717,17.763033,4.8833323,1
6.828292,9.666667,5.7707233,1
4.9768367,6.543131,3.8573325,1
5.4511847,6.642259,5.601453,1
6.6976438,7.378005,4.8827295,1
6.7505794,12.783578,5.9133964,1
6.832468,11.7725,5.612361,1
6.541611,8.884018,4.8719287,1
6.7884507,14.841666,5.390513,1
6.7837152,13.421811,5.7344813,1
6.533493,14.512144,4.861833,1
6.7931757,16.15276,4.9839015,1
6.81324,4.5164356,5.494124,1
4.8831806,9.625,5.661579,1
6.8342533,9.8433,5.770743,1
6.7208586,8.859732,4.8366723,1
6.824521,13.875707,5.434366,1
6.7820187,11.272727,4.864612,1
6.017087,9.291872,5.6933784,1
6.584334,8.333673,4.861791,1
4.7659774,6.7682137,3.8233438,1
6.716367,11.966364,4.8807564,1
6.8638935,8.924138,4.8706436,1
6.807094,5.3687444,4.955293,1
6.79296,13.578125,5.117513,1
6.8287354,10.277723,5.775323,1
6.7837796,11.227104,5.794581,1
6.752397,9.560603,5.1175995,1
6.747959,8.627358,4.8806076,1
6.8514056,12.056793,5.603103,1
6.751043,10.379194,4.882883,1
6.782019,9.5220585,5.143842,1
6.7674904,8.614731,5.5154963,1
6.023003,10.122202,5.6933565,1
6.7674904,8.615625,5.5154514,1
3.715001,2.3428571,5.615067,1
5.452163,7.773308,5.601424,1
6.775864,7.6802697,5.693126,1
6.7063937,25.9847,4.9772434,1
6.7829595,15.172982,5.484273,1
6.7877164,7.1049275,5.693148,1
3.7163806,3.0832298,5.615067,1
6.7030244,11.484375,5.117513,1
6.7760324,12.970398,5.484273,1
6.7939663,2.280238,6.4102473,1
6.733579,5.47651,4.882462,1
6.7639008,6.881365,5.143904,1
6.812726,8.686891,5.515482,1
6.476184,9.10625,5.5154514,1
6.765694,10.3275,5.612361,1
6.8333116,18.483334,5.0894847,1
5.452163,7.7736974,5.6014028,1
6.824643,11.21875,6.0206003,1
6.768582,23.280043,4.8828716,1
6.533493,14.516734,4.861696,1
6.8274465,16.816668,5.0894847,1
6.8441005,5.1556206,5.2936563,1
6.795165,12.03857,4.9971724,1
6.791206,12.778181,4.9615016,1
5.4489694,9.965195,5.60143,1
7.886809,15.653136,5.6193614,1
7.8403363,15.346437,5.6198955,1
7.7698073,14.717054,5.4219213,1
7.849579,15.100819,5.528181,1
